raw_field,raw_value,standard_control_technology,component_order,mapping_status,observed_count,source_type,note
除尘处理工艺名称,P05|板式,普通静电除尘法,1,mapped,11,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P05|板式P06|管式P10|喷淋塔/冲击水浴,普通静电除尘法,1,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P05|板式P06|管式P10|喷淋塔/冲击水浴,湿式除尘法,2,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P06|管式,普通静电除尘法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P07|湿式除雾,湿式除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P08|文丘里,湿式除尘法,1,mapped,8,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P09|离心水膜,湿式除尘法,1,mapped,6,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P10|喷淋塔/冲击水浴,湿式除尘法,1,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P12|多管旋风,多管旋风除尘法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P13|电袋组合,电袋复合除尘法,1,mapped,29,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P15|其他,其他除尘技术,1,mapped,19,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,单筒（多筒并联）旋风,机械式除尘法,1,mapped,6,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,喷淋塔/冲击水浴,湿式除尘法,1,mapped,301,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,多管旋风,多管旋风除尘法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,布袋除尘,袋式除尘法,1,mapped,6,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,文丘里,湿式除尘法,1,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,旋风除尘法+袋式除尘法,袋式除尘法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,旋风除尘法+袋式除尘法,机械式除尘法,2,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,机械+湿法除尘法,机械式除尘法,1,mapped,11,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,机械+湿法除尘脱硫,机械式除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,湿式电除尘,高效静电除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋复合除尘器+湿式电除尘器,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋复合除尘器+湿式电除尘器,电袋复合除尘法,2,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋组合,电袋复合除尘法,1,mapped,44,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋组合+其他（湿式电除尘）,高效静电除尘法,1,mapped,23,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋组合+其他（湿式电除尘）,电袋复合除尘法,2,mapped,23,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋组合+其他（湿法脱硫协同）,电袋复合除尘法,1,mapped,10,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,电袋组合+其他（湿法脱硫协同）,其他脱硫技术,2,mapped,10,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）,电袋复合除尘法,2,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）,其他脱硫技术,3,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,电袋除尘器+除雾器除尘+湿式除尘器,电袋复合除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,电袋除尘器+除雾器除尘+湿式除尘器,湿式除尘法,2,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,离心水膜,湿式除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,袋式除尘,袋式除尘法,1,mapped,128,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,袋式除尘+其他（湿式电除尘）,高效静电除尘法,1,mapped,9,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,袋式除尘+其他（湿式电除尘）,袋式除尘法,2,mapped,9,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,袋式除尘+其他（湿法脱硫协同）,袋式除尘法,1,mapped,23,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,袋式除尘+其他（湿法脱硫协同）,其他脱硫技术,2,mapped,23,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,袋式除尘法,袋式除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,静电除尘,普通静电除尘法,1,mapped,30,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,静电除尘+其他（湿式电除尘）,高效静电除尘法,1,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,静电除尘+其他（湿式电除尘）,普通静电除尘法,2,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,静电除尘+其他（湿法脱硫协同）,普通静电除尘法,1,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,静电除尘+其他（湿法脱硫协同）,其他脱硫技术,2,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,静电除尘+其他（湿法脱硫协同）+其他（湿式电除尘）,高效静电除尘法,1,mapped,5,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,静电除尘+其他（湿法脱硫协同）+其他（湿式电除尘）,普通静电除尘法,2,mapped,5,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,静电除尘+其他（湿法脱硫协同）+其他（湿式电除尘）,其他脱硫技术,3,mapped,5,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效电袋组合+其他（湿式电除尘）①,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,高效电袋组合+其他（湿式电除尘）①,电袋复合除尘法,2,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,高效电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）①,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）①,电袋复合除尘法,2,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效电袋组合+其他（湿法脱硫协同）+其他（湿式电除尘）①,其他脱硫技术,3,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效电除尘器+湿式电除尘器,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,高效袋式除尘+其他（湿法脱硫协同）+其他（湿式电除尘）①,高效静电除尘法,1,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效袋式除尘+其他（湿法脱硫协同）+其他（湿式电除尘）①,袋式除尘法,2,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效袋式除尘+其他（湿法脱硫协同）+其他（湿式电除尘）①,其他脱硫技术,3,mapped,2,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效袋式除尘+其他（湿法脱硫协同）①,袋式除尘法,1,mapped,1,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效袋式除尘+其他（湿法脱硫协同）①,其他脱硫技术,2,mapped,1,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效袋式除尘①,袋式除尘法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,高效静电除尘+其他（湿式电除尘）①,高效静电除尘法,1,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,高效静电除尘+其他（湿法脱硫协同）+其他（湿式电除尘）①,高效静电除尘法,1,mapped,8,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效静电除尘+其他（湿法脱硫协同）+其他（湿式电除尘）①,其他脱硫技术,2,mapped,8,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效静电除尘+其他（湿法脱硫协同）①,高效静电除尘法,1,mapped,4,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效静电除尘+其他（湿法脱硫协同）①,其他脱硫技术,2,mapped,4,reviewed_operational_mapping,湿法脱硫协同归入A.1其他脱硫技术并参与跨字段协同判断
除尘处理工艺名称,高效静电除尘①,高效静电除尘法,1,mapped,6,reviewed_operational_mapping,按原词或编码语义映射
