源ID,源类,基102原表行号,污染物,B0参照总量表记录行号,当前排放量_吨每年,补回湿式成分后的诊断排放量_吨每年,变化量_吨每年,相对变化_百分比,问题归属,计算说明
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,BC,34292,0.1250613,0.0694785,-0.05558279999999999,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,OC,34296,0.02501226,0.0138957,-0.011116560000000001,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,PM10,34297,1.66788102,0.913840785,-0.7540402350000001,-45.209473934777435,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,PM2.5,34298,0.6253065,0.3473925,-0.277914,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,BC,25733,0.051408,0.02856,-0.022848000000000004,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,OC,25737,0.0102816,0.005712,-0.0045696,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,PM10,25738,0.6856032,0.37564559999999997,-0.3099576,-45.209473934777435,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,PM2.5,25739,0.25704,0.1428,-0.11423999999999998,-44.444444444444436,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,SO2,25740,3.4,2.72,-0.6799999999999997,-19.999999999999993,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-57142DC32337D97DC9E7,工业锅炉,4726,PM10,14326,0.00054,0.0003,-0.00024000000000000003,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-57142DC32337D97DC9E7,工业锅炉,4726,PM2.5,14327,0.00054,0.0003,-0.00024000000000000003,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
